# ITU-R BS.1116-based test
# Administered on Thu Mar 12 14:38:10 2020
# Reference file: /Users/arda/Documents/PhD/Classes/WI19/MUS422/proj/audio-codec/ListeningTests/spmg/spmg.wav
# Subject name/number: arda
Test file           ,    Session 1,      Average
spmg_full_128.wav   ,        -0.50,        -0.50
spmg_bs_128.wav     ,        -0.30,        -0.30
spmg_vq_128.wav     ,        -0.80,        -0.80
spmg_base_96.wav    ,        -1.00,        -1.00
spmg_full+SBR_96.wav,        -1.00,        -1.00
spmg_base_128.wav   ,        -0.40,        -0.40
spmg_full_96.wav    ,        -0.80,        -0.80
spmg_vq_96.wav      ,        -1.00,        -1.00
spmg_bs_96.wav      ,        -1.10,        -1.10
